序號,日期,傳票,項目,科目,描述,金額,借/貸
3660,2021/9/1 上午 12:00:00,WF20210901001,1,6134,110-08-07-無糖烏龍茶,1086,1
3661,2021/9/1 上午 12:00:00,WF20210901001,2,6123,110-08-07-無糖烏龍茶,54,1
3662,2021/9/1 上午 12:00:00,WF20210901001,3,6123,110-08-07-無糖烏龍茶,1140,2
3666,2021/9/8 上午 12:00:00,WF20210908001,1,6134,32吋電視,4752,1
3667,2021/9/8 上午 12:00:00,WF20210908001,2,6123,32吋電視,238,1
3668,2021/9/8 上午 12:00:00,WF20210908001,3,1113,32吋電視,4990,2
3669,2021/9/10 上午 12:00:00,WF20210910001,1,6134,有線電視投資、時事取得,512,1
3670,2021/9/10 上午 12:00:00,WF20210910001,2,1262,有線電視投資、時事取得,512,2
3671,2021/9/13 上午 12:00:00,WF20210913001,1,6134,停車費,20,1
3672,2021/9/13 上午 12:00:00,WF20210913001,2,1113,停車費,20,2
3679,2021/9/25 上午 12:00:00,WF20210925001,1,6134,電話端子6P*2P,10,1
3680,2021/9/25 上午 12:00:00,WF20210925001,2,1113,電話端子6P*2P,10,2
3702,2021/10/26 上午 12:00:00,WF20211026001,1,6134,電池,48,1
3703,2021/10/26 上午 12:00:00,WF20211026001,2,6123,電池,2,1
3704,2021/10/26 上午 12:00:00,WF20211026001,3,1113,電池,50,2
3328,2021/11/1 上午 12:00:00,WF20211101002,1,6134,媒體投資娛樂費,512,1
3329,2021/11/1 上午 12:00:00,WF20211101002,2,1262,媒體投資娛樂費,512,2
3307,2021/11/6 上午 12:00:00,WF20211106001,1,6134,百貨,170,1
3308,2021/11/6 上午 12:00:00,WF20211106001,2,6123,百貨,8,1
3309,2021/11/6 上午 12:00:00,WF20211106001,3,1113,百貨,178,2
3322,2021/11/6 上午 12:00:00,WF20211106002,1,6134,負責人電話津貼,684,1
3323,2021/11/6 上午 12:00:00,WF20211106002,2,6123,負責人電話津貼,34,1
3324,2021/11/6 上午 12:00:00,WF20211106002,3,1113,負責人電話津貼,718,2
3304,2021/11/7 上午 12:00:00,WF20211107001,1,6134,百貨,67,1
3305,2021/11/7 上午 12:00:00,WF20211107001,2,6123,百貨,3,1
3306,2021/11/7 上午 12:00:00,WF20211107001,3,1113,百貨,70,2
3301,2021/11/14 上午 12:00:00,WF20211114001,1,6134,借用汔車百貨,14,1
3302,2021/11/14 上午 12:00:00,WF20211114001,2,6123,借用汔車百貨,1,1
3303,2021/11/14 上午 12:00:00,WF20211114001,3,1113,借用汔車百貨,15,2
3286,2021/12/1 上午 12:00:00,WF20211201001,1,6134,辛勞津貼-餐費,138,1
3287,2021/12/1 上午 12:00:00,WF20211201001,2,6123,辛勞津貼-餐費,7,1
3288,2021/12/1 上午 12:00:00,WF20211201001,3,1113,辛勞津貼-餐費,145,2
3330,2021/12/1 上午 12:00:00,WF20211201002,1,6134,媒體投資娛樂費,512,1
3331,2021/12/1 上午 12:00:00,WF20211201002,2,1262,媒體投資娛樂費,512,2
3289,2021/12/5 上午 12:00:00,WF20211205001,1,6134,停車費,29,1
3290,2021/12/5 上午 12:00:00,WF20211205001,2,6123,停車費,1,1
3291,2021/12/5 上午 12:00:00,WF20211205001,3,1113,停車費,30,2
3292,2021/12/6 上午 12:00:00,WF20211206001,1,6134,停車費-修鎖,19,1
3293,2021/12/6 上午 12:00:00,WF20211206001,2,6123,停車費-修鎖,1,1
3294,2021/12/6 上午 12:00:00,WF20211206001,3,1113,停車費-修鎖,20,2
3325,2021/12/6 上午 12:00:00,WF20211206002,1,6134,負責人電話津貼,688,1
3326,2021/12/6 上午 12:00:00,WF20211206002,2,6123,負責人電話津貼,34,1
3327,2021/12/6 上午 12:00:00,WF20211206002,3,1113,負責人電話津貼,722,2
3271,2021/12/28 上午 12:00:00,WF20211228001,1,6134,發票,18,1
3272,2021/12/28 上午 12:00:00,WF20211228001,2,1113,發票,18,2
3273,2021/12/28 上午 12:00:00,WF20211228002,1,6134,寄發票-郵資,28,1
3274,2021/12/28 上午 12:00:00,WF20211228002,2,1113,寄發票-郵資,28,2
3715,2021/12/31 上午 12:00:00,WF20211231005,1,6166,透過損益按公允價值衡量之金融資產評價調整-流動,49450,1
3716,2021/12/31 上午 12:00:00,WF20211231005,2,1122,透過損益按公允價值衡量之金融資產評價調整-流動,49450,2
